"Timestamp","TZ","Pressure (bar)"
2019/04/02 23:22:28.000,n,7.328917
2019/04/02 23:22:32.001,n,7.321153
2019/04/02 23:22:36.004,n,7.310329
2019/04/02 23:22:40.000,n,7.343823
2019/04/02 23:22:44.000,n,7.399638
2019/04/02 23:22:48.000,n,7.443444
2019/04/02 23:22:52.000,n,7.468226
2019/04/02 23:22:56.010,n,7.477044
2019/04/02 23:23:00.015,n,7.281967
2019/04/02 23:23:04.000,n,7.177415
2019/04/02 23:23:08.007,n,7.201314
2019/04/02 23:23:12.000,n,7.25322
2019/04/02 23:23:16.000,n,7.307478
2019/04/02 23:23:20.004,n,7.342597
2019/04/02 23:23:24.000,n,7.358533
2019/04/02 23:23:28.013,n,7.352406
2019/04/02 23:23:32.001,n,7.335449
2019/04/02 23:23:36.000,n,7.328297
2019/04/02 23:23:40.000,n,7.368962
2019/04/02 23:23:44.016,n,7.424402
2019/04/02 23:23:48.000,n,7.463305
2019/04/02 23:23:52.000,n,7.484621
2019/04/02 23:23:56.000,n,7.411092
2019/04/02 23:24:00.001,n,7.196819
2019/04/02 23:24:04.000,n,7.200699
2019/04/02 23:24:08.000,n,7.246492
2019/04/02 23:24:12.000,n,7.30237
2019/04/02 23:24:16.000,n,7.342396
2019/04/02 23:24:20.000,n,7.362014
2019/04/02 23:24:24.000,n,7.360379
2019/04/02 23:24:28.000,n,7.344848
2019/04/02 23:24:32.000,n,7.32585
2019/04/02 23:24:36.000,n,7.353431
2019/04/02 23:24:40.000,n,7.406386
2019/04/02 23:24:44.001,n,7.454497
2019/04/02 23:24:48.000,n,7.480726
2019/04/02 23:24:52.000,n,7.487698
2019/04/02 23:24:56.000,n,7.209487
2019/04/02 23:25:00.000,n,7.175575
2019/04/02 23:25:04.000,n,7.144351
2019/04/02 23:25:08.000,n,7.113758
2019/04/02 23:25:12.000,n,7.084415
2019/04/02 23:25:16.000,n,7.058548
2019/04/02 23:25:20.000,n,7.059363
2019/04/02 23:25:24.000,n,7.10683
2019/04/02 23:25:28.000,n,7.169047
2019/04/02 23:25:32.000,n,7.234876
2019/04/02 23:25:36.000,n,7.284619
2019/04/02 23:25:40.000,n,7.317481
2019/04/02 23:25:44.000,n,7.334424
2019/04/02 23:25:48.000,n,7.335449
2019/04/02 23:25:52.000,n,7.090117
2019/04/02 23:25:56.001,n,7.089097
2019/04/02 23:26:00.000,n,7.139454
2019/04/02 23:26:04.000,n,7.200904
2019/04/02 23:26:08.000,n,7.251178
2019/04/02 23:26:12.000,n,7.282172
2019/04/02 23:26:16.000,n,7.296048
2019/04/02 23:26:20.000,n,7.28768
2019/04/02 23:26:24.000,n,7.306867
2019/04/02 23:26:28.000,n,7.358133
2019/04/02 23:26:32.000,n,7.411092
2019/04/02 23:26:36.000,n,7.444879
2019/04/02 23:26:40.002,n,7.460034
2019/04/02 23:26:44.000,n,7.458393
2019/04/02 23:26:48.000,n,7.272998
2019/04/02 23:26:52.000,n,7.161489
2019/04/02 23:26:56.000,n,7.187219
2019/04/02 23:27:00.000,n,7.238743
2019/04/02 23:27:04.000,n,7.294212
2019/04/02 23:27:08.001,n,7.331778
2019/04/02 23:27:12.000,n,7.35057
2019/04/02 23:27:16.000,n,7.346684
2019/04/02 23:27:20.000,n,7.331368
2019/04/02 23:27:24.003,n,7.32585
2019/04/02 23:27:28.000,n,7.368142
2019/04/02 23:27:32.000,n,7.423376
2019/04/02 23:27:36.000,n,7.462904
2019/04/02 23:27:40.000,n,7.481955
2019/04/02 23:27:44.000,n,7.422147
2019/04/02 23:27:48.000,n,7.195387
2019/04/02 23:27:52.002,n,7.197223
2019/04/02 23:27:56.000,n,7.242416
2019/04/02 23:28:00.000,n,7.297679
2019/04/02 23:28:04.000,n,7.33892
2019/04/02 23:28:08.003,n,7.359353
2019/04/02 23:28:12.000,n,7.358133
2019/04/02 23:28:16.000,n,7.342597
2019/04/02 23:28:20.001,n,7.325034
2019/04/02 23:28:24.000,n,7.356287
2019/04/02 23:28:28.000,n,7.409657
2019/04/02 23:28:32.000,n,7.455522
2019/04/02 23:28:36.003,n,7.480315
2019/04/02 23:28:40.000,n,7.486262
2019/04/02 23:28:44.000,n,7.209078
2019/04/02 23:28:48.000,n,7.194777
2019/04/02 23:28:52.000,n,7.234061
2019/04/02 23:28:56.000,n,7.290131
2019/04/02 23:29:00.000,n,7.335039
2019/04/02 23:29:04.001,n,7.361399
2019/04/02 23:29:08.000,n,7.366716
2019/04/02 23:29:12.000,n,7.35363
2019/04/02 23:29:16.000,n,7.335248
2019/04/02 23:29:20.004,n,7.316456
2019/04/02 23:29:24.000,n,7.297679
2019/04/02 23:29:28.000,n,7.279521
2019/04/02 23:29:32.000,n,7.262998
2019/04/02 23:29:36.000,n,7.274424
2019/04/02 23:29:40.000,n,7.049789
2019/04/02 23:29:44.000,n,7.084415
2019/04/02 23:29:48.002,n,7.148023
2019/04/02 23:29:52.000,n,7.197223
2019/04/02 23:29:56.000,n,7.229783
2019/04/02 23:30:00.000,n,7.242416
2019/04/02 23:30:04.005,n,7.251384
2019/04/02 23:30:08.000,n,7.297679
2019/04/02 23:30:12.000,n,7.354452
2019/04/02 23:30:16.001,n,7.397997
2019/04/02 23:30:20.000,n,7.422761
2019/04/02 23:30:24.000,n,7.430954
2019/04/02 23:30:28.000,n,7.422147
2019/04/02 23:30:32.003,n,7.408026
2019/04/02 23:30:36.000,n,7.230395
2019/04/02 23:30:40.000,n,7.120081
2019/04/02 23:30:44.001,n,7.15312
2019/04/02 23:30:48.005,n,7.207642
2019/04/02 23:30:52.000,n,7.26504
2019/04/02 23:30:56.000,n,7.305032
2019/04/02 23:31:00.002,n,7.326056
2019/04/02 23:31:04.000,n,7.32626
2019/04/02 23:31:08.000,n,7.311354
2019/04/02 23:31:12.000,n,7.330141
2019/04/02 23:31:16.004,n,7.380821
2019/04/02 23:31:20.000,n,7.43279
2019/04/02 23:31:24.000,n,7.463519
